supplier_id,sales_growth,profit_margin,normalised_ebita_margin,net_profit_margin,net_worth,working_capital,receivable_day,inventory_days,payable_days,cash_equivalents,current_liabilities,total_debts,net_income,cashflow_stability,is_client_on_CRB,statements_status,economic_sensitivity,capital_intensity,utilization_capacity,market_growth,is_litigation_issues,how_regulated,is_there_competition,how_competitive,how_mature,is_industry_performing,is_industry_risky,are_there_structures,is_business_technical,how_technical,how_managed,is_it_one_man_show,is_there_controls,has_experience,times_supplied_before
1,23,28,78,66,63,33923212,57,14,60,31,2,49,77,56,13,19,84,74,17,51,false,false,true,Never,Often,true,false,false,false,Once,Monthly,false,true,true,Daily
2,27,3,44,31,16,11278777,90,59,7,38,27,45,9,69,49,96,27,58,96,53,true,false,false,Weekly,Seldom,true,true,true,false,Never,Yearly,false,true,false,Daily
3,79,82,47,19,9,76668512,79,12,71,79,51,22,7,45,37,85,13,59,12,78,true,true,true,Daily,Yearly,false,false,true,false,Daily,Daily,false,false,false,Seldom
4,17,18,97,96,45,24081635,5,32,77,7,39,64,19,66,48,66,66,19,46,3,true,true,true,Never,Once,true,true,false,true,Often,Never,true,true,false,Seldom
5,49,71,47,41,1,14380371,46,48,78,4,76,91,48,17,54,23,46,45,85,98,true,false,true,Yearly,Daily,true,false,true,true,Monthly,Daily,false,false,true,Daily
6,79,9,87,22,11,56619598,11,32,40,5,3,94,63,5,32,40,3,90,54,91,true,false,false,Monthly,Monthly,false,false,false,true,Seldom,Daily,false,true,true,Often
7,95,21,26,71,91,35480679,90,70,81,17,41,10,65,97,22,12,46,49,43,79,false,true,false,Yearly,Seldom,true,false,true,true,Weekly,Often,false,true,false,Daily
8,69,46,64,38,38,1018531,95,28,93,48,71,86,21,8,28,41,55,80,76,92,false,false,false,Monthly,Weekly,false,false,true,true,Seldom,Weekly,false,true,false,Monthly
9,74,58,58,57,95,92568875,100,87,76,29,75,28,35,15,96,21,17,46,25,57,false,false,true,Daily,Monthly,false,false,true,false,Once,Weekly,true,true,true,Once
10,28,42,75,25,29,91129878,63,37,43,82,92,62,49,16,21,38,18,3,48,49,false,true,false,Once,Never,true,false,true,false,Yearly,Daily,false,false,true,Once
11,56,29,2,23,90,79478684,41,6,95,96,5,8,71,20,85,53,85,57,42,27,false,true,false,Never,Never,true,true,false,true,Never,Daily,true,true,false,Never
12,38,92,68,49,43,63823880,17,86,74,10,23,68,98,53,31,50,43,10,50,91,false,false,true,Yearly,Monthly,true,false,true,true,Daily,Daily,false,true,true,Monthly
13,51,79,10,42,57,73869911,46,62,6,17,22,76,14,98,24,17,88,79,2,77,false,true,false,Monthly,Weekly,true,true,false,false,Weekly,Never,false,false,true,Seldom
