,supplier_id,sales_growth,profit_margin,normalised_ebita_margin,net_profit_margin,net_worth,working_capital,receivable_day,inventory_days,payable_days,cash_equivalents,current_liabilities,total_debts,net_income,cashflow_stability,is_client_on_CRB,statements_status,economic_sensitivity,capital_intensity,utilization_capacity,market_growth,is_litigation_issues,how_regulated,is_there_competition,how_competitive,how_mature,is_industry_performing,is_industry_risky,are_there_structures,is_business_technical,how_technical,how_managed,is_it_one_man_show,is_there_controls,has_experience,times_supplied_before,st_debt,total_liabilities,current_ratio,interest_expense,equity,total_current_assets,stability,how_diverse,product_substitution,scoring_time
0,1,0.23,0.28,0.78,0.0066,0.02,33923212,57,14,60,31,2,49,77,56,13,19,outstanding,medium,problematic,medium,False,medium,True,problematic,medium,True,False,False,False,Once,Monthly,False,True,True,Daily,2,0.02,2.4,15.0,2,0.2,problematic,problematic,medium,2022-07-22 10:51:29.985550
1,2,0.27,0.03,0.44,0.0031,0.27,11278777,90,59,7,38,27,45,9,69,49,96,weak,medium,outstanding,medium,True,medium,False,high,problematic,True,True,True,False,Never,Yearly,False,True,False,Daily,27,0.27,0.28,1.75,27,2.7,problematic,high,problematic,2022-07-22 10:51:29.985550
2,3,0.79,0.82,0.47,0.0019,0.51,76668512,79,12,71,79,51,22,7,45,37,85,problematic,high,problematic,high,True,high,True,outstanding,problematic,False,False,True,False,Daily,Daily,False,False,False,Seldom,51,0.51,2.84,17.75,51,5.1,weak,outstanding,problematic,2022-07-22 10:51:29.985550
3,4,0.17,0.18,0.97,0.0096,0.39,24081635,5,32,77,7,39,64,19,66,48,66,high,problematic,medium,problematic,True,problematic,True,problematic,problematic,True,True,False,True,Often,Never,True,True,False,Seldom,39,0.39,3.08,19.25,39,3.9,weak,problematic,problematic,2022-07-22 10:51:29.985550
4,5,0.49,0.71,0.47,0.0040999999999999,0.76,14380371,46,48,78,4,76,91,48,17,54,23,medium,outstanding,outstanding,outstanding,True,outstanding,True,problematic,outstanding,True,False,True,True,Monthly,Daily,False,False,True,Daily,76,0.76,3.12,19.5,76,7.6,problematic,problematic,outstanding,2022-07-22 10:51:29.985550
5,6,0.79,0.09,0.87,0.0022,0.03,56619598,11,32,40,5,3,94,63,5,32,40,problematic,outstanding,medium,outstanding,True,outstanding,False,weak,weak,False,False,False,True,Seldom,Daily,False,True,True,Often,3,0.03,1.6,10.0,3,0.3,problematic,weak,weak,2022-07-22 10:51:29.985550
6,7,0.95,0.21,0.26,0.0070999999999999,0.41,35480679,90,70,81,17,41,10,65,97,22,12,medium,high,medium,high,False,high,False,problematic,problematic,True,False,True,True,Weekly,Often,False,True,False,Daily,41,0.41,3.24,20.25,41,4.1,problematic,problematic,problematic,2022-07-22 10:51:29.985550
7,8,0.69,0.46,0.64,0.0038,0.71,1018531,95,28,93,48,71,86,21,8,28,41,medium,outstanding,high,outstanding,False,outstanding,False,weak,high,False,False,True,True,Seldom,Weekly,False,True,False,Monthly,71,0.71,3.72,23.25,71,7.1,outstanding,weak,high,2022-07-22 10:51:29.985550
8,9,0.74,0.58,0.58,0.0056999999999999,0.75,92568875,100,87,76,29,75,28,35,15,96,21,problematic,medium,weak,medium,False,medium,True,outstanding,weak,False,False,True,False,Once,Weekly,True,True,True,Once,75,0.75,3.04,19.0,75,7.5,problematic,outstanding,weak,2022-07-22 10:51:29.985550
9,10,0.28,0.42,0.75,0.0025,0.92,91129878,63,37,43,82,92,62,49,16,21,38,problematic,medium,medium,medium,False,medium,False,problematic,problematic,True,False,True,False,Yearly,Daily,False,False,True,Once,92,0.92,1.72,10.75,92,9.2,problematic,problematic,problematic,2022-07-22 10:51:29.985550
10,11,0.56,0.29,0.02,0.0023,0.05,79478684,41,6,95,96,5,8,71,20,85,53,outstanding,weak,medium,weak,False,weak,False,problematic,problematic,True,True,False,True,Never,Daily,True,True,False,Never,5,0.05,3.8,23.75,5,0.5,problematic,problematic,problematic,2022-07-22 10:51:29.985550
11,12,0.38,0.92,0.68,0.0049,0.23,63823880,17,86,74,10,23,68,98,53,31,50,medium,outstanding,medium,outstanding,False,outstanding,True,problematic,weak,True,False,True,True,Daily,Daily,False,True,True,Monthly,23,0.23,2.96,18.5,23,2.3,outstanding,problematic,weak,2022-07-22 10:51:29.985550
12,13,0.51,0.79,0.1,0.0042,0.22,73869911,46,62,6,17,22,76,14,98,24,17,outstanding,high,problematic,high,False,high,False,weak,high,True,True,False,False,Weekly,Never,False,False,True,Seldom,22,0.22,0.24,1.5,22,2.2,weak,weak,high,2022-07-22 10:51:29.985550
13,14,0.82,0.31,0.37,0.0053,0.77,75020090,45,9,32,4,77,86,18,58,86,93,problematic,outstanding,high,outstanding,False,outstanding,True,weak,high,False,False,True,False,Never,Often,False,False,True,Weekly,77,0.77,1.28,8.0,77,7.7,problematic,weak,high,2022-07-22 10:51:29.985550
14,15,0.84,0.25,0.22,0.0093,0.58,60598171,3,82,16,7,58,20,13,33,78,14,outstanding,problematic,medium,problematic,True,problematic,True,weak,high,True,False,False,False,Weekly,Daily,True,True,True,Once,58,0.58,0.64,4.0,58,5.8,problematic,weak,high,2022-07-22 10:51:29.985550
15,16,0.86,0.91,0.41,0.0014,0.56,76322425,86,66,80,33,56,96,58,49,82,11,high,problematic,medium,problematic,False,problematic,False,high,weak,False,True,True,False,Once,Monthly,False,False,True,Once,56,0.56,3.2,20.0,56,5.6,problematic,high,weak,2022-07-22 10:51:29.985550
16,17,1.0,0.57,0.71,0.0078,0.93,79198511,64,68,31,81,93,95,68,46,2,18,outstanding,outstanding,problematic,outstanding,False,outstanding,True,weak,weak,False,True,True,False,Once,Once,False,False,True,Monthly,93,0.93,1.24,7.75,93,9.3,outstanding,weak,weak,2022-07-22 10:51:29.985550
17,18,0.34,0.34,0.37,0.0092,0.64,23805361,30,46,56,90,64,45,43,13,14,81,weak,weak,high,weak,False,weak,True,weak,problematic,True,True,False,False,Yearly,Seldom,True,True,True,Often,64,0.64,2.24,14.0,64,6.4,problematic,weak,problematic,2022-07-22 10:51:29.985550
18,19,0.13,1.0,0.04,0.0005,0.64,21731992,17,19,48,70,64,5,18,40,73,99,problematic,weak,problematic,weak,True,weak,False,weak,high,False,False,True,True,Daily,Weekly,True,True,True,Weekly,64,0.64,1.92,12.0,64,6.4,problematic,weak,high,2022-07-22 10:51:29.985550
19,20,0.52,0.03,0.98,0.0027,0.81,84039757,94,88,14,59,81,48,12,70,19,22,weak,problematic,high,problematic,True,problematic,True,outstanding,outstanding,True,True,True,False,Seldom,Never,False,True,True,Often,81,0.81,0.56,3.5,81,8.1,problematic,outstanding,outstanding,2022-07-22 10:51:29.985550
20,21,0.59,0.46,0.6,0.0026,0.3,77824499,8,9,72,52,30,90,99,87,41,3,outstanding,medium,problematic,medium,False,medium,True,medium,high,False,False,True,True,Once,Often,False,True,False,Daily,30,0.3,2.88,18.0,30,3.0,problematic,medium,high,2022-07-22 10:51:29.985550
21,22,1.0,0.5,0.16,0.0089,0.15,48067702,4,89,24,71,15,68,89,28,42,70,outstanding,medium,problematic,medium,True,medium,False,outstanding,outstanding,True,False,False,True,Weekly,Weekly,True,True,True,Seldom,15,0.15,0.96,6.0,15,1.5,weak,outstanding,outstanding,2022-07-22 10:51:29.985550
22,23,0.54,0.25,0.71,0.0076,0.9,35541964,71,78,16,45,90,77,41,26,39,64,problematic,problematic,medium,problematic,False,problematic,False,problematic,problematic,False,True,False,True,Weekly,Yearly,False,False,True,Seldom,90,0.9,0.64,4.0,90,9.0,weak,problematic,problematic,2022-07-22 10:51:29.985550
23,24,0.57,0.11,0.76,0.0077,0.77,43175322,98,52,25,36,77,22,87,52,18,26,problematic,problematic,medium,problematic,True,problematic,False,medium,high,True,True,False,False,Often,Seldom,True,False,True,Often,77,0.77,1.0,6.25,77,7.7,problematic,medium,high,2022-07-22 10:51:29.985550
24,25,0.95,0.97,0.99,0.0074,0.65,77694585,72,59,94,5,65,65,92,71,63,57,outstanding,high,weak,high,False,high,True,problematic,medium,False,False,False,True,Daily,Once,True,True,True,Never,65,0.65,3.76,23.5,65,6.5,problematic,problematic,medium,2022-07-22 10:51:29.985550
25,26,0.61,0.63,0.36,0.0081999999999999,0.85,32031279,50,55,43,37,85,42,38,40,32,45,weak,high,weak,high,True,high,True,problematic,outstanding,True,False,True,True,Weekly,Once,True,False,False,Often,85,0.85,1.72,10.75,85,8.5,problematic,problematic,outstanding,2022-07-22 10:51:29.985550
26,27,0.25,0.28,0.28,0.0072,0.64,44159355,78,8,17,95,64,95,87,97,27,21,medium,outstanding,medium,outstanding,False,outstanding,True,problematic,problematic,True,False,False,False,Seldom,Yearly,True,True,False,Never,64,0.64,0.68,4.25,64,6.4,problematic,problematic,problematic,2022-07-22 10:51:29.985550
27,28,0.61,0.06,0.87,0.0097,0.55,59645870,10,85,10,56,55,87,19,73,47,71,weak,weak,outstanding,weak,False,weak,False,problematic,problematic,True,False,True,False,Seldom,Seldom,False,True,False,Once,55,0.55,0.4,2.5,55,5.5,problematic,problematic,problematic,2022-07-22 10:51:29.985550
28,29,0.78,0.59,0.86,0.0093,0.27,13470111,31,52,62,67,27,50,85,80,84,86,medium,high,medium,high,True,high,True,problematic,problematic,True,False,True,False,Monthly,Seldom,False,True,False,Yearly,27,0.27,2.48,15.5,27,2.7,high,problematic,problematic,2022-07-22 10:51:29.985550
29,30,0.81,0.35,0.69,0.0076,0.94,3163999,1,87,33,82,94,73,37,40,76,24,weak,problematic,problematic,problematic,False,problematic,False,problematic,problematic,False,False,False,False,Yearly,Daily,True,False,False,Seldom,94,0.94,1.32,8.25,94,9.4,weak,problematic,problematic,2022-07-22 10:51:29.985550
30,31,0.51,0.15,0.71,0.0013,0.16,53566096,77,38,32,53,16,86,36,63,52,82,high,problematic,high,problematic,True,problematic,False,medium,problematic,True,False,True,False,Once,Seldom,False,True,False,Yearly,16,0.16,1.28,8.0,16,1.6,high,medium,problematic,2022-07-22 10:51:29.985550
31,32,0.55,0.24,0.87,0.0005,0.24,51407546,88,23,65,92,24,83,21,21,100,44,problematic,medium,outstanding,medium,True,medium,False,outstanding,medium,False,False,True,False,Weekly,Weekly,False,True,True,Often,24,0.24,2.6,16.25,24,2.4,problematic,outstanding,medium,2022-07-22 10:51:29.985550
32,33,0.89,0.78,0.65,0.0001,0.97,90610987,12,89,31,20,97,22,8,45,57,7,outstanding,high,weak,high,True,high,True,problematic,problematic,False,False,False,False,Seldom,Weekly,False,False,True,Weekly,97,0.97,1.24,7.75,97,9.7,problematic,problematic,problematic,2022-07-22 10:51:29.985550
33,34,0.63,0.23,0.76,0.0089,0.69,22987613,36,54,77,7,69,75,53,48,41,91,weak,high,high,high,True,high,False,high,problematic,True,False,False,True,Seldom,Daily,True,True,True,Seldom,69,0.69,3.08,19.25,69,6.9,weak,high,problematic,2022-07-22 10:51:29.985550
